Company,LTP (₹),Market Cap (Cr),Volume,Links,Ticker
Reliance Industries Ltd.,"1,227.45","16,61,031","62,17,338",https://www.etmoney.com/stocks/reliance-industries-ltd/2046,RELIANCE
Tata Consultancy Services Ltd.,"3,784.10","13,69,120","43,66,672",https://www.etmoney.com/stocks/tata-consultancy-services-ltd/1937,TCS
HDFC Bank Ltd.,"1,727.20","13,21,428","59,42,056",https://www.etmoney.com/stocks/hdfc-bank-ltd/2705,HDFCBANK
Bharti Airtel Ltd.,"1,645.20","9,54,245","77,76,555",https://www.etmoney.com/stocks/bharti-airtel-ltd/1003,BHARTIARTL
ICICI Bank Ltd.,"1,261.65","8,91,088","1,06,83,412",https://www.etmoney.com/stocks/icici-bank-ltd/399,ICICIBANK
Infosys Ltd.,"1,810.80","7,51,977","46,11,411",https://www.etmoney.com/stocks/infosys-ltd/2396,INFY
State Bank of India,727.30,"6,49,088","67,66,606",https://www.etmoney.com/stocks/state-bank-of-india/2089,SBIN
Hindustan Unilever Ltd.,"2,250.40","5,28,752","15,21,343",https://www.etmoney.com/stocks/hindustan-unilever-ltd/2771,HINDUNILVR
Bajaj Finance Ltd.,"8,439.45","5,22,399","8,96,198",https://www.etmoney.com/stocks/bajaj-finance-ltd/657,BAJFINANCE
ITC Ltd.,406.40,"5,08,507","70,79,032",https://www.etmoney.com/stocks/itc-ltd/1353,ITC
Life Insurance Corporation of India,764.00,"4,83,230","8,55,159",https://www.etmoney.com/stocks/life-insurance-corporation-of-india/4092,LICI
HCL Technologies Ltd.,"1,712.30","4,64,661","12,94,110",https://www.etmoney.com/stocks/hcl-technologies-ltd/1399,HCLTECH
Larsen & Toubro Ltd.,"3,275.90","4,60,693","16,77,978",https://www.etmoney.com/stocks/larsen-and-toubro-ltd/943,LT
Sun Pharmaceutical Industries Ltd.,"1,676.60","4,02,273","25,76,319",https://www.etmoney.com/stocks/sun-pharmaceutical-industries-ltd/2777,SUNPHARMA
Maruti Suzuki India Ltd.,"12,686.15","3,98,856","2,88,694",https://www.etmoney.com/stocks/maruti-suzuki-india-ltd/466,MARUTI
Kotak Mahindra Bank Ltd.,"1,985.00","3,94,656","39,14,165",https://www.etmoney.com/stocks/kotak-mahindra-bank-ltd/2332,KOTAKBANK
Mahindra & Mahindra Ltd.,"2,757.40","3,42,891","26,71,072",https://www.etmoney.com/stocks/mahindra-and-mahindra-ltd/819,M&M
Wipro Ltd.,314.10,"3,28,910","78,35,672",https://www.etmoney.com/stocks/wipro-ltd/1707,WIPRO
UltraTech Cement Ltd.,"11,291.55","3,25,991","1,57,580",https://www.etmoney.com/stocks/ultratech-cement-ltd/358,ULTRACEMCO
Axis Bank Ltd.,"1,011.35","3,13,115","64,01,381",https://www.etmoney.com/stocks/axis-bank-ltd/1228,AXISBANK
Oil And Natural Gas Corporation Ltd.,238.30,"3,05,816","61,68,581",https://www.etmoney.com/stocks/oil-and-natural-gas-corporation-ltd/615,ONGC
NTPC Ltd.,314.80,"3,05,251","1,30,79,903",https://www.etmoney.com/stocks/ntpc-ltd/82,NTPC
Bajaj Finserv Ltd.,"1,875.35","2,99,430","7,68,994",https://www.etmoney.com/stocks/bajaj-finserv-ltd/2136,BAJAJFINSV
Titan Company Ltd.,"3,210.30","2,85,006","5,21,953",https://www.etmoney.com/stocks/titan-company-ltd/55,TITAN
Adani Enterprises Ltd.,"2,180.80","2,51,704","12,03,163",https://www.etmoney.com/stocks/adani-enterprises-ltd/95,ADANIENT
Tata Motors Ltd.,681.00,"2,50,689","99,86,815",https://www.etmoney.com/stocks/tata-motors-ltd/1838,TATAMOTORS
Power Grid Corporation of India Ltd.,263.05,"2,44,652","1,46,02,009",https://www.etmoney.com/stocks/power-grid-corporation-of-india-ltd/2172,POWERGRID
Avenue Supermarts Ltd.,"3,685.00","2,39,795","2,65,834",https://www.etmoney.com/stocks/avenue-supermarts-ltd/1804,DMART
JSW Steel Ltd.,977.35,"2,39,006","15,81,818",https://www.etmoney.com/stocks/jsw-steel-ltd/1124,JSWSTEEL
Bajaj Auto Ltd.,"8,479.50","2,36,796","2,00,819",https://www.etmoney.com/stocks/bajaj-auto-ltd/2687,BAJAJ-AUTO
Adani Ports & Special Economic Zone Ltd.,"1,082.85","2,33,911","17,92,268",https://www.etmoney.com/stocks/adani-ports-and-special-economic-zone-ltd/316,ADANIPORTS
Zomato Ltd.,234.10,"2,25,915","4,78,96,911",https://www.etmoney.com/stocks/zomato-ltd/3096,ZOMATO
Hindustan Aeronautics Ltd.,"3,363.75","2,24,959","26,89,414",https://www.etmoney.com/stocks/hindustan-aeronautics-ltd/175,HAL
Coal India Ltd.,362.30,"2,23,276","30,97,726",https://www.etmoney.com/stocks/coal-india-ltd/1527,COALINDIA
Asian Paints Ltd.,"2,239.10","2,14,774","6,45,236",https://www.etmoney.com/stocks/asian-paints-ltd/944,ASIANPAINT
Nestle India Ltd.,"2,204.95","2,12,592","4,26,479",https://www.etmoney.com/stocks/nestle-india-ltd/378,NESTLEIND
Adani Power Ltd.,482.55,"1,86,117","31,93,090",https://www.etmoney.com/stocks/adani-power-ltd/2349,ADANIPOWER
Bharat Electronics Ltd.,253.40,"1,85,230","2,15,16,255",https://www.etmoney.com/stocks/bharat-electronics-ltd/2621,BEL
Trent Ltd.,"4,991.45","1,77,440","7,64,148",https://www.etmoney.com/stocks/trent-ltd/844,TRENT
Siemens Ltd.,"4,954.90","1,76,454","6,63,780",https://www.etmoney.com/stocks/siemens-ltd/318,SIEMENS
Hindustan Zinc Ltd.,413.45,"1,74,696","9,84,098",https://www.etmoney.com/stocks/hindustan-zinc-ltd/1394,HINDZINC
DLF Ltd.,690.15,"1,70,834","34,66,893",https://www.etmoney.com/stocks/dlf-ltd/656,DLF
InterGlobe Aviation Ltd.,"4,399.90","1,70,022","5,96,622",https://www.etmoney.com/stocks/interglobe-aviation-ltd/426,INDIGO
Tata Steel Ltd.,135.76,"1,69,476","1,84,47,487",https://www.etmoney.com/stocks/tata-steel-ltd/868,TATASTEEL
Indian Oil Corporation Ltd.,119.87,"1,69,271","91,58,990",https://www.etmoney.com/stocks/indian-oil-corporation-ltd/600,IOC
Vedanta Ltd.,423.50,"1,65,618","93,89,191",https://www.etmoney.com/stocks/vedanta-ltd/545,VEDL
Tech Mahindra Ltd.,"1,685.80","1,65,012","11,13,961",https://www.etmoney.com/stocks/tech-mahindra-ltd/828,TECHM
Grasim Industries Ltd.,"2,463.20","1,64,911","2,89,053",https://www.etmoney.com/stocks/grasim-industries-ltd/2566,GRASIM
Indian Railway Finance Corporation Ltd.,124.27,"1,62,402","3,32,85,812",https://www.etmoney.com/stocks/indian-railway-finance-corporation-ltd/2850,IRFC
LTIMindtree Ltd.,"5,470.10","1,62,071","3,00,572",https://www.etmoney.com/stocks/ltimindtree-ltd/2509,LTIM
Varun Beverages Ltd.,475.90,"1,60,938","1,03,07,513",https://www.etmoney.com/stocks/varun-beverages-ltd/1171,VBL
Divi's Laboratories Ltd.,"5,934.90","1,57,553","3,37,225",https://www.etmoney.com/stocks/divis-laboratories-ltd/2542,DIVISLAB
Hyundai Motor India Ltd.,"1,875.95","1,52,429","11,79,676",https://www.etmoney.com/stocks/hyundai-motor-india-ltd/4917,HYUNDAI
SBI Life Insurance Company Ltd.,"1,475.60","1,47,872","3,91,966",https://www.etmoney.com/stocks/sbi-life-insurance-company-ltd/2522,SBILIFE
Jio Financial Services Ltd.,228.92,"1,45,439","1,40,85,762",https://www.etmoney.com/stocks/jio-financial-services-ltd/4428,JIOFIN
Pidilite Industries Ltd.,"2,768.70","1,40,829","1,65,836",https://www.etmoney.com/stocks/pidilite-industries-ltd/1669,PIDILITIND
Hindalco Industries Ltd.,626.30,"1,40,744","61,01,855",https://www.etmoney.com/stocks/hindalco-industries-ltd/666,HINDALCO
Adani Green Energy Ltd.,864.70,"1,36,971","41,21,742",https://www.etmoney.com/stocks/adani-green-energy-ltd/1981,ADANIGREEN
HDFC Life Insurance Company Ltd.,622.85,"1,34,087","20,07,325",https://www.etmoney.com/stocks/hdfc-life-insurance-company-ltd/39,HDFCLIFE
Eicher Motors Ltd.,"4,810.60","1,31,880","2,75,722",https://www.etmoney.com/stocks/eicher-motors-ltd/1323,EICHERMOT
Bajaj Holdings & Investment Ltd.,"11,732.10","1,30,571","78,087",https://www.etmoney.com/stocks/bajaj-holdings-and-investment-ltd/1362,BAJAJHLDNG
Power Finance Corporation Ltd.,384.45,"1,26,872","1,02,53,709",https://www.etmoney.com/stocks/power-finance-corporation-ltd/452,PFC
Cipla Ltd.,"1,464.15","1,18,247","12,10,464",https://www.etmoney.com/stocks/cipla-ltd/2065,CIPLA
Ambuja Cements Ltd.,479.90,"1,18,205","17,21,933",https://www.etmoney.com/stocks/ambuja-cements-ltd/1042,AMBUJACEM
Macrotech Developers Ltd.,"1,181.75","1,17,862","6,26,677",https://www.etmoney.com/stocks/macrotech-developers-ltd/2287,LODHA
Britannia Industries Ltd.,"4,837.50","1,16,520","2,15,919",https://www.etmoney.com/stocks/britannia-industries-ltd/28,BRITANNIA
Cholamandalam Investment & Finance Company Ltd.,"1,375.40","1,15,655","14,93,355",https://www.etmoney.com/stocks/cholamandalam-investment-and-finance-company-ltd/2655,CHOLAFIN
